标题,价格(元),所在地,想要人数,商品URL
宝宝闲置玩具水果切切乐，几乎全新，高质量塑料，安全无味。闲置 物品不退换，青岛市北区自提，如邮寄满50包邮！,18.0,S***y,38,https://www.goofish.com/item?id=938527825529&categoryId=126862789
紫光檀 编织纹 · 茶漏置   造型独特，制作精巧； 小小一物，别具雅意。  直径5.3-5.9cm 高5cm 重30.,300.0,精***三,9999,https://www.goofish.com/item?id=684837790127&categoryId=126854584
小型加热切带机，台式设计，方便实用，操作简单。适合用于尼龙缎 织带、松紧带等。有需要的朋友可以联系我哦,118.0,启***链,135,https://www.goofish.com/item?id=897137299392&categoryId=126862115
《日出》  可以闻到空气的清新，看到光的雨露 高端定制，中国美院艺术家亲笔绘画 可定制，送上光油 软装,890.0,笔***术,3600,https://www.goofish.com/item?id=658923702472&categoryId=126858233
13年大众CC电子时钟  感兴趣的话点“我想要”和我私聊吧～,100.0,拆***配,0,https://www.goofish.com/item?id=951288753071&categoryId=126860672
门镜，防盗门猫眼门镜  猫眼十元一个,10.0,开***心,1,https://www.goofish.com/item?id=843069579409&categoryId=126858042
自用闲置锯片铣刀，全新的上海量具刃具厂产锯片铣刀，型号：12 5x1.0x27，50齿，HSS材质；5片包邮，需要的联系,20.0,t***x,27,https://www.goofish.com/item?id=876876671105&categoryId=126864415
德国ERSA i-tool手柄 爱莎手柄 原装ERSA i- tool手柄，正常使用，手柄处有刻意，包邮不议价，谢谢,259.0,X***X,0,https://www.goofish.com/item?id=800155710508&categoryId=126864565
全新钢丝线三元一卷  感兴趣的话点“我想要”和我私聊吧～,3.0,意***柒,1,https://www.goofish.com/item?id=736478235349&categoryId=126858057
星帮尼，次氯酸电动喷雾器S8PRO+30片次氯酸片，京东购买 ，全新，次氯酸片盒子的包装膜都在，139包邮！,139.0,c***9,2,https://www.goofish.com/item?id=700400924727&categoryId=126858262
欧式复古挂衣钩挂钩客厅门后黑白色衣勾墙上壁挂排钩衣服挂钩衣帽 钩   感兴趣的话点“我想要”和我私聊吧～,50.0,全***发,65,https://www.goofish.com/item?id=720351927819&categoryId=126858223
写字机机器包邮全新写字机器人全自动写字机打印店速写机器人自动 画画填表格包邮   全新的未拆封厂家直发，不是二手的【二手,279.0,江***n,0,https://www.goofish.com/item?id=774331080689&categoryId=126854359
E款白色防腐木围栏隔断，简约横板设计，有两个，庭院花园阳台都 能用，木材质地防腐防潮，安装简单。,88.0,稳***离,0,https://www.goofish.com/item?id=914456193416&categoryId=126864741
全新澳毛精纺面料，手测幅长2.6米幅宽1.55米，铁灰色，抗 皱防静可水洗，联纺公司出品，手感好有垂度，纹理颜色非常高级,90.0,竹***5,0,https://www.goofish.com/item?id=869606983839&categoryId=201457301
儿童敖丙哪吒按乐速推游戏机玩具解压益智闯关打地鼠专注女孩训练  感兴趣的话点“我想要”和我私聊吧～,8.0,喝***头,0,https://www.goofish.com/item?id=939909554571&categoryId=126862883
爱心镜子梳妆台二合一，简约设计，节省空间，适合任何家居风格。 成色新，功能完好无损。有意者欢迎私聊，非诚勿扰哦～,60.0,唐***角,159,https://www.goofish.com/item?id=927418136883&categoryId=126858308
光阳RKS150琴钢款前减震加强弹簧，加强30%，建议加10 W全合成减震油，每边加注130毫升。包装完好。喜欢的朋友欢,45.0,铁***木,1,https://www.goofish.com/item?id=960032282979&categoryId=126860403
Sentinel  圣天诺加密狗，服务器拆机  感兴趣的话点“我想要”和我私聊吧～,85.0,香***郎,1,https://www.goofish.com/item?id=857131671183&categoryId=126854016
花梨木多屉药柜 尺寸高70厘米 宽53厘米 厚21  此器采用传统榫卯工艺，木质纹理美观，有多层抽屉和下方柜门，方便分类,20.0,钟***月,0,https://www.goofish.com/item?id=937072163563&categoryId=126866778
成都新能源二手车动力电池检测 车况鉴定    成都智鉴车是一家完全独立的第三方车况鉴定机构。工商备案，公司拥有经验丰富的,299.0,成***车,29,https://www.goofish.com/item?id=740658726500&categoryId=201456012
